Time,G,Acc
0.016271,25.017888,245.4254813
0.016371,23.255792,228.1393195
0.016471,21.203241,208.0037942
0.016571,16.226772,159.1846333
0.016671,17.349866,170.2021855
0.016771,15.975044,156.7151816
0.016871,25.540707,250.5543357
0.016971,27.457712,269.3601547
0.017071,13.515856,132.5905474
0.017171,22.500608,220.7309645
0.017271,20.428693,200.4054783
0.017371,13.825675,135.6298718
0.017471,25.211524,247.3250504
0.017571,27.34153,268.2204093
0.017671,32.434181,318.1793156
0.017771,29.142354,285.8864927
0.017871,26.566983,260.6221032
0.017971,32.434181,318.1793156
0.018071,24.146521,236.877371
0.018171,32.124362,315.1399912
0.018271,35.803463,351.231972
0.018371,31.136814,305.4521453
0.018471,25.560071,250.7442965
0.018571,21.900333,214.8422667
0.018671,20.602966,202.1150965
0.018771,32.259908,316.4696975
0.018871,37.236376,365.2888486
0.018971,21.203241,208.0037942
0.019071,25.560071,250.7442965
0.019171,52.456236,514.5956752
0.019271,40.024747,392.6427681
0.019371,9.120298,89.47012338
0.019471,9.255844,90.79982964
0.019571,35.26128,345.9131568
0.019672,48.254316,473.37484
0.019772,29.781355,292.1550926
0.019872,15.510316,152.1562
0.019972,19.479872,191.0975443
0.020072,38.030287,373.0771155
0.020172,47.344222,464.4468178
0.020272,18.221232,178.7502859
0.020372,11.192213,109.7956095
0.020472,18.221232,178.7502859
0.020572,28.716352,281.7074131
0.020672,14.774496,144.9378058
0.020772,18.976416,186.158641
0.020872,39.443837,386.944041
0.020972,20.970876,205.7242936
0.021072,0.329183,3.22928523
0.021172,34.428641,337.7449682
0.021272,44.459032,436.1431039
0.021372,6.118926,60.02666406
0.021494,-3.175645,-31.15307745
0.021594,15.452225,151.5863273
0.021694,22.558699,221.3008372
0.021794,6.738564,66.10531284
0.021894,15.955681,156.5252306
0.021994,37.797923,370.7976246
0.022094,33.402365,327.6772007
0.022194,23.856066,234.0280075
0.022294,30.168629,295.9542505
0.022394,26.199073,257.0129061
0.022493,34.622278,339.6445472
0.022593,35.435553,347.6227749
0.022693,1.278004,12.53721924
0.022793,2.265552,22.22506512
0.022893,28.425897,278.8580496
0.022993,43.587666,427.5950035
0.023093,27.225348,267.0806639
0.023193,33.692821,330.526574
0.023293,42.13539,413.3481759
0.023393,31.059359,304.6923118
0.023493,10.146574,99.53789094
0.023593,29.103626,285.5065711
0.023693,52.824146,518.2048723
0.023793,45.814491,449.4401567
0.023893,32.453545,318.3692765
0.023993,15.74268,154.4356908
0.024093,37.178285,364.7189759
0.024193,30.01372,294.4345932
0.024293,12.973672,127.2717223
0.024393,42.677573,418.6669911
0.024492,53.908513,528.8425125
0.024592,39.637474,388.8436199
0.024692,14.077403,138.0993234
0.024792,-1.529732,-15.00667092
0.024892,25.017888,245.4254813
0.024992,30.672085,300.8931539
0.025092,32.00818,314.0002458
0.025192,30.981904,303.9324782
0.025292,16.362318,160.5143396
0.025392,23.255792,228.1393195
0.025492,17.969504,176.2808342
0.025592,14.329131,140.5687751
0.025692,30.846358,302.602772
0.025792,26.586346,260.8120543
0.025892,24.495068,240.2966171
0.025992,28.290351,277.5283433
0.026092,20.09951,197.1761931
0.026192,23.643066,231.9384775
0.026292,25.424525,249.4145903
0.026392,27.86435,273.3492735
0.026491,29.045535,284.9366984
0.026591,21.764788,213.5125703
0.026691,26.838074,263.2815059
0.026791,22.24888,218.2615128
0.026891,20.699785,203.0648909
0.026991,32.550363,319.319061
0.027091,29.12299,285.6965319
0.027191,20.235056,198.5058994
0.027291,5.731652,56.22750612
0.027391,4.318103,42.36059043
0.027491,30.38163,298.0437903
0.027591,39.4632,387.133992
0.027691,17.775867,174.3812553
0.027791,-4.221284,-41.41079604
0.027891,11.75376,115.3043856
0.027991,44.265395,434.243525
0.028091,27.980532,274.4890189
0.028191,-6.35129,-62.3061549
0.028291,7.861658,77.12286498
0.028391,41.82557,410.3088417
0.02849,26.160345,256.6329845
0.02859,-3.562919,-34.95223539
0.02869,6.157653,60.40657593
0.02879,24.727432,242.5761079
0.02889,20.138238,197.5561148
0.02899,17.504776,171.7218526
0.02909,19.5186,191.477466
0.02919,-0.251728,-2.46945168
0.02929,-11.172849,-109.6056487
0.02939,18.414869,180.6498649
0.02949,33.63473,329.9567013
0.02959,15.336043,150.4465818
0.02969,2.226824,21.84514344
0.02979,17.485412,171.5318917
0.02989,20.118874,197.3661539
0.02999,0.290455,2.84936355
0.03009,9.217116,90.41990796
0.03019,19.015144,186.5385626
0.03029,0.600274,5.88868794
0.03039,-2.071915,-20.32548615
0.030489,13.147946,128.9813503
0.030589,18.143778,177.9904622
0.030689,7.60993,74.6534133
0.030789,3.2531,31.912911
0.030889,14.968132,146.8373749
0.030989,15.026223,147.4072476
0.031089,3.930829,38.56143249
0.031189,4.376194,42.93046314
0.031289,7.24202,71.0442162
0.031389,6.757928,66.29527368
0.031489,11.502032,112.8349339
0.031589,11.59885,113.7847185
0.031689,10.940485,107.3261579
0.031789,7.997204,78.45257124
0.031889,8.481296,83.20151376
0.031989,10.785575,105.8064908
0.032089,11.560123,113.4048066
0.032189,8.558751,83.96134731
0.032289,2.013824,19.75561344
0.032389,-0.73582,-7.2183942
0.032488,5.964017,58.50700677
0.032588,13.38031,131.2608411
0.032688,16.517228,162.0340067
0.032788,10.185301,99.91780281
0.032888,4.782831,46.91957211
0.032988,5.460561,53.56810341
0.033088,4.995832,49.00911192
0.033188,5.266924,51.66852444
0.033288,7.822931,76.74295311
0.033388,7.087111,69.52455891
0.033488,3.117554,30.58320474
0.033588,5.09265,49.9588965
0.033688,7.551839,74.08354059
0.033788,7.106474,69.71450994
0.033888,9.643118,94.59898758
0.033988,10.030391,98.39813571
0.034088,8.539387,83.77138647
0.034188,5.325015,52.23839715
0.034288,5.789743,56.79737883
0.034388,8.86857,87.0006717
0.034487,9.585027,94.02911487
0.034587,8.113386,79.59231666
0.034687,7.881022,77.31282582
0.034787,6.583655,64.58565555
0.034887,5.731652,56.22750612
0.034987,7.842294,76.93290414
0.035087,10.030391,98.39813571
0.035187,8.539387,83.77138647
0.035287,5.905925,57.93712425
0.035387,6.409381,62.87602761
0.035487,9.720572,95.35881132
0.035587,10.843666,106.3763635
0.035687,8.403841,82.44168021
0.035787,8.016568,78.64253208
0.035887,7.919749,77.69273769
0.035987,0.73582,7.2183942
0.036087,-7.048383,-69.14463723
0.036187,3.388646,33.24261726
0.036287,12.102306,118.7236219
0.036387,-2.284915,-22.41501615
0.036486,18.99578,186.3486018
0.036586,20.661057,202.6849692
0.036686,-7.590566,-74.46345246
0.036786,1.665277,16.33636737
0.036886,3.369282,33.05265642
0.036986,7.087111,69.52455891
0.037086,3.175645,31.15307745
0.037186,-6.177017,-60.59653677
0.037286,-7.416293,-72.75383433
0.037386,-3.795283,-37.23172623
0.037486,1.432913,14.05687653
